Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_18:57:54,10.824336290359497,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:58:05,21.853069067001343,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:58:16,32.82733082771301,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:58:27,43.65215468406677,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:58:38,54.538771629333496,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:58:48,65.38866949081421,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:58:59,76.33760690689087,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:59:10,87.3541579246521,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:59:21,98.27924394607544,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:59:32,109.14271187782288,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:59:44,120.89546728134155,0.0,0.0,0.0,0.0,5.0
2024-07-07_18:59:57,133.5765769481659,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:00:08,144.81323266029358,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:00:20,156.62105917930603,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:00:31,167.85032486915588,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:00:42,178.9426727294922,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:00:53,189.94176626205444,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:01:04,201.04375314712524,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:01:15,211.9402015209198,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:01:26,222.83316683769226,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:01:37,233.81417775154114,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:01:48,244.77932572364807,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:01:59,255.62415599822998,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:02:10,266.52270317077637,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:02:21,277.52209210395813,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:02:32,288.6026065349579,0.0,0.0,0.0,0.0,5.0
2024-07-07_19:02:44,301.3878893852234,5.0,5.0,0.0,0.0,4.0
2024-07-07_19:02:54,310.8475396633148,5.0,5.0,32.0,0.0,32.0
2024-07-07_19:03:03,320.27819323539734,5.0,5.0,64.0,0.0,64.0
2024-07-07_19:03:13,329.66853046417236,5.0,5.0,96.0,0.0,96.0
2024-07-07_19:03:22,339.0195038318634,5.0,5.0,128.0,0.0,129.0
2024-07-07_19:03:32,348.5261790752411,5.0,5.0,160.0,0.0,161.0
2024-07-07_19:03:41,358.14205622673035,5.0,5.0,192.0,0.0,193.0
2024-07-07_19:03:50,367.47650480270386,5.0,5.0,225.0,0.0,225.0
2024-07-07_19:04:00,376.8935441970825,5.0,5.0,1.0,0.0,2.0
2024-07-07_19:04:09,386.3646697998047,5.0,5.0,33.0,0.0,4.0
2024-07-07_19:04:19,395.8059902191162,5.0,5.0,65.0,0.0,37.0
2024-07-07_19:04:28,405.2004482746124,5.0,5.0,97.0,0.0,69.0
2024-07-07_18:57:43,409.3470935821533,None,None,None,None,End of Test
